,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
1940,,33.6,0.0,0.0,243.6,243.6
1941,,960.0,0.0,0.0,6960.0,6960.0
1942,,159.2,0.0,0.0,1154.2,1154.2
1943,,0.0,0.0,0.0,0.0,0.0
1944,,38.46,0.0,0.0,278.86,278.86
1945,,82.52,0.0,0.0,598.25,598.25
1946,,0.0,0.0,0.0,0.0,0.0
1947,,143.79,0.0,0.0,1042.49,1042.49
1948,,109.3,0.0,0.0,792.4,792.4
1949,,100.8,0.0,0.0,730.8,730.8
1950,,384.0,0.0,0.0,2784.0,2784.0
1951,,511.63,0.0,0.0,3709.33,3709.33
1952,,61.92,0.0,0.0,448.92,448.92
1953,,0.0,0.0,0.0,0.0,0.0
1954,,0.0,0.0,0.0,0.0,0.0
1955,,78.4,0.0,0.0,568.4,568.4
1956,,69.6,0.0,0.0,504.6,504.6
1957,,0.0,0.0,0.0,0.0,0.0
1958,,0.0,0.0,0.0,0.0,0.0
1959,,0.0,0.0,0.0,0.0,0.0
1960,,0.0,0.0,0.0,0.0,0.0
1961,,0.0,0.0,0.0,0.0,0.0
1962,,165.38,0.0,0.0,1199.0,1199.0
1963,,206.62,0.0,0.0,1498.0,1498.0
1964,,59.07,0.0,0.0,13428.27,13428.27
1965,,1958.4,0.0,0.0,14198.4,14198.4
1966,,0.0,0.0,0.0,0.0,0.0
1967,,40.4,0.0,0.0,300.0,300.0
1968,,0.0,0.0,0.0,0.01,0.0
1969,,0.0,0.0,0.0,0.01,0.0
1970,,230.27,0.0,0.0,1669.47,1669.47
1971,,0.0,0.0,0.0,0.0,0.0
1972,,560.32,0.0,0.0,4062.32,4062.32
1973,,25.6,0.0,0.0,185.6,185.6
1974,,10.56,0.0,0.0,76.56,76.56
1975,,75.73,0.0,0.0,549.01,549.01
1976,,353.03,0.0,0.0,2559.4399999999996,2559.44
1977,,331.55,0.0,0.0,2403.76,2403.76
1978,,16.17,0.0,3.03,114.2,114.2
1979,,800.0,500.0,533.5,4766.5,4766.5
1980,,80.0,0.0,0.0,580.0,580.0
1981,,0.0,0.0,0.0,0.0,0.0
1982,,25.75,0.0,0.0,186.69,186.69
1983,,395.68,0.0,0.0,2868.6699999999996,2868.67
1984,,853.6,0.0,0.0,6188.6,6188.6
1985,,30.02,0.0,0.0,30.02,217.62
1986,,1021.68,0.0,383.13,7024.08,7024.08
1987,,384.9,0.0,0.0,2849.4,2983.6
1988,,2862.16,0.0,26.5,19677.379999999997,19677.38
1989,,400.0,0.0,0.0,2900.0,2900.0
1990,,63.2,0.0,0.0,458.2,458.2
1991,,329.32,0.0,0.0,2387.65,2387.65
1992,,6.37,0.0,0.0,46.19,46.19
1993,,43.2,0.0,0.0,313.2,313.2
1994,,40.41,0.0,0.0,300.0,300.0
1995,,140.8,0.0,0.0,1020.8,1020.8
1996,,32.63,0.0,0.0,236.57,236.57
1997,,2308.34,0.0,865.63,15869.840000000002,15869.84
1998,,0.0,0.0,0.0,0.0,0.0
1999,,0.0,0.0,0.0,0.0,0.0
2000,,0.0,0.0,0.0,0.0,0.0
2001,,41.98,0.0,0.0,304.38,304.38
2002,,29.12,0.0,0.0,211.12,211.12
2003,,0.0,0.0,0.0,0.0,0.0
2004,,6.9,0.0,0.0,50.0,50.0
2005,,24.56,0.0,0.0,178.0,178.0
2006,,605.95,0.0,0.0,4393.15,4393.15
2007,,60.69,0.0,0.0,440.01,440.01
2008,,8.4,0.0,0.0,0.0,627.5
2009,,8.4,0.0,0.0,60.87,60.87
2010,,0.0,0.0,0.0,0.0,0.0
2011,,0.0,0.0,0.0,0.0,0.0
2012,,0.0,0.0,0.0,82.0,82.0
2013,,0.0,0.0,0.0,0.0,0.0
2014,,45.32,0.0,0.0,328.57,328.57
2015,,182.26,0.0,0.0,1321.3799999999999,1321.38
2016,,947.28,0.0,0.0,6867.78,6867.78
2017,,0.0,0.0,0.0,180.0,180.0
2018,,713.89,0.0,0.0,0.0,1569.3
2019,,713.89,0.0,0.0,5175.68,5175.68
2020,,38.9,0.0,0.0,282.0,282.0
2021,,68.88,0.0,0.0,499.38,499.38
2022,,114.08,0.0,0.0,827.08,827.08
2023,,0.0,0.0,0.0,0.0,0.0
2024,,208.0,0.0,0.0,1508.0,1508.0
2025,,0.0,0.0,0.0,0.0,0.0
2026,,87.17,0.0,0.0,632.0,632.0
2027,,25.57,0.0,0.0,185.38,185.38
