,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
88,1058.32,169.33,0.0,0.0,1227.6499999999999,1227.65
89,9100.0,1456.0,0.0,0.0,10556.0,10556.0
90,10000.0,1600.0,125.0,0.1,10408.32,10408.32
91,220.0,0.0,0.0,0.0,220.0,220.0
92,948.0,0.0,0.0,0.0,948.0,948.0
93,3750.0,600.0,0.0,0.0,4350.0,4350.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
99,347.82,55.65,0.0,0.0,403.46999999999997,403.47
100,2000.0,320.0,0.0,0.0,2320.0,2320.0
101,0.0,0.0,0.0,0.0,0.0,0.0
102,6324.0,1011.84,0.0,0.0,7335.84,7335.84
103,1241.38,198.62,0.0,0.0,1440.0,1440.0
104,224.14,35.86,0.0,0.0,260.0,260.0
105,7695.0,1231.2,0.0,0.0,8926.2,8926.2
106,170.69,27.31,0.0,0.0,198.0,198.0
107,2800.0,448.0,0.0,0.0,3248.0,3248.0
108,20803.73,3328.59,0.0,0.0,24132.32,24132.32
109,944.0,151.04,0.0,0.0,1095.04,1095.04
110,3448.0,551.68,0.0,0.0,3999.68,3999.68
111,116.38,18.62,0.0,0.0,135.0,135.0
112,198.51,31.76,0.0,0.0,230.26999999999998,230.27
113,14806.52,2369.04,0.0,0.0,17175.56,17175.56
114,19440.14,0.0,0.0,0.0,19440.14,19440.14
115,10300.0,48.0,0.0,0.0,10348.0,10348.0
116,810.0,129.6,0.0,0.0,939.6,939.6
117,2870.9,330.5,0.0,0.0,3466.5,3466.5
118,1944.01,311.05,0.0,0.0,2255.06,2255.06
119,443.74,71.0,0.0,0.0,514.74,514.74
120,0.0,0.0,0.0,0.0,0.0,0.0
121,86.9,13.9,0.0,0.0,100.80000000000001,100.8
122,16649.94,2664.0,0.0,0.0,19313.94,19313.94
123,288.79,46.21,3.61,0.0,331.39,331.39
124,13600.0,2176.0,0.0,0.0,15776.0,15776.0
125,1690.61,270.5,0.0,0.0,1961.11,1961.11
126,1600.0,256.0,0.0,0.0,1856.0,1856.0
127,189.66,30.34,0.0,0.0,220.0,220.0
128,2296.37,367.42,0.0,14.49,2649.3,2649.3
129,2556.1,408.98,0.0,0.0,2965.08,2965.08
130,12000.0,1920.0,0.0,0.0,13920.0,13920.0
131,3008.0,0.0,0.0,0.0,3008.0,3008.0
132,0.0,0.0,0.0,0.0,0.0,0.0
133,19620.0,3139.2,0.0,0.0,22759.2,22759.2
134,280.0,44.8,0.0,0.0,324.8,324.8
135,633.6,101.38,0.0,0.0,734.98,734.98
136,951.83,152.29,0.0,0.0,1104.1200000000001,1104.12
137,2870.9,330.5,0.0,0.0,3466.5,3466.5
138,2086.97,55.03,0.0,0.0,2142.0,2142.0
139,247.9,39.66,0.0,0.0,287.56,287.56
140,329.31,52.69,0.0,0.0,382.0,382.0
141,2870.9,0.0,0.0,0.0,3466.5,3466.5
142,1223.91,190.17,0.0,0.0,1414.0800000000002,1414.08
143,3700.0,592.0,0.0,0.0,4292.0,4292.0
144,98.28,15.72,0.0,0.0,114.0,114.0
145,0.0,0.0,0.0,0.0,0.0,0.0
146,1820.0,291.2,0.0,0.0,2111.2,2111.2
147,469.83,75.17,0.0,0.0,545.0,545.0
148,0.0,0.0,0.0,0.0,0.0,0.0
149,2887.0,461.92,0.0,0.0,3348.92,3348.92
150,1485.0,237.6,0.0,0.0,1722.6,1722.6
151,3800.14,608.02,0.0,0.0,4408.16,4408.16
152,620.0,99.2,0.0,0.0,719.2,719.2
153,539.23,86.28,0.0,0.0,625.51,625.51
154,522.47,83.6,0.0,0.0,606.07,606.07
155,560.35,89.66,0.0,0.0,650.01,650.01
156,0.0,0.0,0.0,0.0,0.0,0.0
157,7741.17,1238.59,0.0,0.0,8979.76,8979.76
158,190.0,30.4,0.0,0.0,220.4,220.4
159,21668.65,0.0,0.0,0.0,21668.65,21668.65
160,4284.0,685.44,0.0,0.0,4969.4400000000005,4969.44
161,2250.0,360.0,0.0,0.0,2610.0,2610.0
162,9950.0,1592.0,0.0,0.0,11542.0,11542.0
163,343.97,55.03,0.0,0.0,399.0,399.0
164,306.5,49.04,0.0,0.0,355.54,355.54
165,2882.65,461.22,0.0,0.0,3343.87,3343.87
166,6720.0,1075.2,0.0,0.0,7795.2,7795.2
167,7800.0,1248.0,0.0,0.0,9048.0,9048.0
168,4500.0,720.0,0.0,0.0,5220.0,5220.0
169,2166.87,346.69,0.0,0.0,2513.56,2513.56
170,626.9,100.31,0.0,0.0,727.21,727.21
171,1009.01,161.44,0.0,0.0,1170.45,1170.45
172,185.45,29.67,0.0,0.0,215.12,215.12
173,413.79,66.21,0.0,0.0,480.0,480.0
174,91.38,14.62,0.0,0.0,106.0,106.0
175,2870.9,330.5,0.0,0.0,3466.5,3466.5
176,575.0,92.0,0.0,0.0,667.0,667.0
177,0.0,0.0,0.0,0.0,0.0,0.0
178,1506.88,241.1,0.0,0.0,1747.98,1747.98
179,4669.56,747.13,0.0,0.0,5416.6900000000005,5416.69
180,1278.7,204.59,0.0,0.0,1483.29,1483.29
181,23593.47,330.5,0.0,0.0,27368.43,27368.43
182,166.48,26.63,0.0,4.72,188.39,188.39
183,0.0,0.0,0.0,0.0,0.0,0.0
184,5850.0,936.0,0.0,0.0,6786.0,6786.0
185,301.0,48.16,0.0,0.0,349.15999999999997,349.16
186,6419.38,0.0,0.0,0.0,6419.38,6419.38
187,5500.0,880.0,0.0,0.0,6380.0,6380.0
188,330.0,52.8,0.0,0.0,382.8,382.8
189,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0,0.0
192,4362.219999999999,216.96,0.0,0.0,4579.179999999999,4579.18
193,2173.72,347.86,0.0,0.0,2521.58,2521.58
194,0.0,0.0,0.0,0.0,0.0,0.0
195,1600.0,256.0,0.0,0.0,1856.0,1856.0
196,2223.0,355.68,0.0,0.0,2578.68,2578.68
197,126.34,20.21,0.0,0.0,146.55,146.55
198,8400.0,1344.0,0.0,0.0,9744.0,9744.0
199,-944.0,-151.04,0.0,0.0,-1095.04,-1095.04
200,-944.0,-151.04,0.0,0.0,-1095.04,-1095.04
201,0.0,0.0,0.0,0.0,0.0,0.0
202,2003.0,320.48,0.0,0.0,2323.48,2323.48
203,120.0,19.2,0.0,0.0,139.2,139.2
204,3344.0,535.04,0.0,0.0,3879.04,3879.04
205,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,0.0
207,2870.9,330.5,0.8,0.1,28600.0,28600.0
208,189.66,30.34,0.0,0.0,220.0,220.0
209,10.0,1.6,0.0,0.0,11.6,11.6
210,241.5,38.64,0.0,0.0,280.14,280.14
211,0.0,0.0,0.0,0.0,0.0,0.0
212,18817.57,742.09,0.0,0.0,19559.66,19559.66
213,288.61,46.18,0.0,0.0,334.79,334.79
214,12165.54,0.0,0.0,0.0,12165.54,12165.54
215,700.0,112.0,0.0,0.0,812.0,812.0
216,0.0,0.0,0.0,0.0,0.0,0.0
217,20628.92,0.0,0.0,0.0,20628.92,20628.92
218,5551.38,888.22,0.0,0.0,6439.6,6439.6
219,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
220,8454.37,1352.7,0.0,0.0,9807.070000000002,9807.07
221,505.0,80.8,0.0,0.0,585.8,585.8
222,0.0,0.0,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0,0.0,0.0
224,744.56,119.13,0.0,0.0,863.6899999999999,863.69
225,82.5,13.2,0.0,0.0,95.7,95.7
226,1079.31,172.69,0.0,0.0,1252.0,1252.0
227,270.69,43.31,0.0,0.0,314.0,314.0
228,417.66,66.83,0.0,0.0,484.49,484.49
229,135.34,21.66,0.0,0.0,157.0,157.0
230,0.0,0.0,0.0,0.0,0.0,0.0
231,2062.89,330.06,0.0,0.0,2392.95,2392.95
232,1682.83,269.25,0.0,0.0,1952.08,1952.08
233,0.0,0.0,0.0,0.0,0.0,0.0
234,2870.9,330.5,0.0,0.0,3466.5,3466.5
235,478.0,0.0,0.0,0.0,478.0,478.0
236,323.28,51.72,0.0,0.0,375.0,375.0
237,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0
239,321.55,51.45,0.0,0.0,373.0,373.0
240,17398.65,2783.78,0.0,0.0,20182.43,20182.43
241,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0
243,2772.69,443.63,0.0,0.0,3216.32,3216.32
244,0.0,0.0,0.0,0.0,0.0,0.0
245,1717.25,0.0,0.0,0.0,1717.25,1717.25
246,5226.53,836.24,0.0,0.0,6062.7699999999995,6062.77
247,234.62,37.54,0.0,0.0,272.16,272.16
248,9021.0,1443.36,0.0,0.0,10464.36,10464.36
249,3000.0,480.0,0.0,0.0,3480.0,3480.0
250,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0,0.0
254,10164.6,1626.33,0.0,0.0,11790.93,11790.93
255,164.24,26.28,0.0,0.0,190.52,190.52
256,4396.55,703.45,0.0,0.0,5100.0,5100.0
257,2505.5499999999997,382.48,0.0,0.0,2888.0299999999997,2888.03
258,0.0,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0
261,1762.25,0.0,0.0,0.0,1762.25,1762.25
262,187.93,30.07,0.0,0.0,218.0,218.0
263,428.0,68.48,0.0,0.0,496.48,496.48
264,1452.0,232.32,0.0,0.0,1684.32,1684.32
265,2914.0,466.24,0.0,0.0,3380.24,3380.24
266,0.0,0.0,0.0,0.0,0.0,0.0
267,1827.6,292.42,0.0,0.0,2120.02,2120.02
268,19620.0,3139.2,0.0,0.0,22759.2,22759.2
269,335.0,53.6,0.0,0.0,388.6,388.6
270,343.97,55.03,0.0,0.0,399.0,399.0
271,2994.0,479.04,0.0,0.0,3473.04,3473.04
272,397.2,63.55,0.0,0.0,460.75,460.75
273,241.0,38.56,3.01,0.0,276.55,276.55
274,0.0,0.0,0.0,0.0,0.0,0.0
275,5884.0,941.44,0.0,0.0,6825.4400000000005,6825.44
276,377.0,60.32,0.0,0.0,437.32,437.32
277,83.62,13.38,0.0,0.0,97.0,97.0
278,350.0,0.0,0.0,0.0,350.0,350.0
279,0.0,0.0,0.0,0.0,0.0,0.0
280,21873.23,0.0,0.0,0.0,21873.23,21873.23
281,8394.04,1343.05,0.0,0.0,9737.09,9737.09
282,14250.0,2280.0,0.0,0.0,16530.0,16530.0
283,0.0,0.0,0.0,0.0,0.0,0.0
284,2111.39,337.82,0.0,0.0,2449.21,2449.21
285,2187.32,349.97,0.0,0.0,2537.29,2537.29
286,3072.96,491.67,0.0,0.0,3564.63,3564.63
287,7695.0,1231.2,0.0,0.0,8926.2,8926.2
288,360.0,57.6,0.0,0.0,417.6,417.6
289,656.03,104.96,0.0,0.0,760.99,760.99
290,2870.9,330.5,0.0,0.0,3466.5,3466.5
291,9720.0,1555.2,0.0,0.0,11275.2,11275.2
292,79.31,12.69,0.0,0.0,92.0,92.0
293,1563.89,250.22,0.0,0.0,1814.1100000000001,1814.11
294,264.0,0.0,0.0,0.0,264.0,264.0
295,114.74,18.36,0.0,0.0,133.1,133.1
296,10300.0,48.0,0.0,0.0,10348.0,10348.0
297,0.0,0.0,0.0,0.0,0.0,0.0
298,1809.0,289.44,0.0,0.0,2098.44,2098.44
299,0.0,0.0,0.0,0.0,0.0,0.0
300,379.31,60.69,0.0,0.0,440.0,440.0
301,0.0,0.0,0.0,0.0,0.0,0.0
302,231.9,37.1,0.0,0.0,269.0,269.0
303,84.48,13.52,0.0,0.0,98.0,98.0
304,140.52,22.48,0.0,0.0,163.0,163.0
305,458.02,73.28,0.0,0.0,531.3,531.3
306,1450.0,232.0,0.0,0.0,1682.0,1682.0
307,2870.9,330.5,0.0,0.0,3466.5,3466.5
308,85.34,13.66,0.0,0.0,99.0,99.0
309,22920.1,0.0,0.0,0.0,22920.1,22920.1
310,741.16,118.59,0.0,0.0,859.75,859.75
311,2000.0,320.0,0.0,0.0,2320.0,2320.0
312,2870.9,330.5,0.8,0.1,28600.0,28600.0
313,5373.5,859.76,0.0,0.0,6233.26,6233.26
314,2292.01,366.72,0.0,0.0,2658.7300000000005,2658.73
315,2065.8,330.53,0.0,0.0,2396.33,2396.33
316,5490.76,878.52,0.0,0.0,6369.280000000001,6369.28
317,12238.0,1958.08,0.0,0.0,14196.08,14196.08
318,1471.0,235.36,0.0,0.0,1706.3600000000001,1706.36
319,1268.9,0.0,0.0,0.0,1268.9,1268.9
320,356.5,0.0,0.0,0.0,356.5,356.5
321,1164.14,186.26,0.0,0.0,1350.4,1350.4
322,6324.0,1011.84,0.0,0.0,7335.84,7335.84
323,2394.0,383.04,0.0,0.0,2777.04,2777.04
324,560.35,89.66,0.0,0.0,650.01,650.01
325,1024.31,163.89,0.0,0.0,1188.1999999999998,1188.2
326,2778.59,444.57,0.0,0.0,3223.1600000000003,3223.16
327,10000.0,1600.0,125.0,0.1,10408.32,10408.32
328,2706.19,432.96,0.0,0.0,3139.15,3139.15
329,320.0,51.2,0.0,0.0,371.2,371.2
330,0.0,0.0,0.0,0.0,0.0,0.0
331,475.28000000000003,56.37,0.0,0.0,531.65,531.65
332,1540.0,246.4,0.0,0.0,1786.4,1786.4
333,1986.92,317.91,0.0,0.0,2304.83,2304.83
334,1100.0,176.0,0.0,0.0,1276.0,1276.0
335,2053.4900000000002,76.19,0.0,0.0,2129.6800000000003,2129.68
336,3217.0,0.0,0.0,0.0,3217.0,3217.0
337,0.0,0.0,0.0,0.0,0.0,0.0
338,1643.63,262.98,0.0,0.0,1906.6100000000001,1906.61
339,56.03,8.97,0.0,0.0,65.0,65.0
340,650.0,104.0,0.0,0.0,754.0,754.0
341,3974.23,635.89,0.0,0.0,4610.12,4610.12
342,4464.39,714.3,0.0,0.0,5178.6900000000005,5178.69
343,3750.0,600.0,0.0,0.0,4350.0,4350.0
344,0.0,0.0,0.0,0.0,0.0,0.0
345,2870.9,330.5,0.0,0.0,3466.5,3466.5
346,2850.0,456.0,0.0,0.0,3306.0,3306.0
347,8400.0,1344.0,0.0,0.0,9744.0,9744.0
348,87.93,14.07,0.0,0.0,102.0,102.0
349,342.67,54.83,0.0,0.0,397.5,397.5
350,8040.23,1286.44,0.0,0.0,9326.67,9326.67
351,1680.0,268.8,0.0,0.0,1948.8,1948.8
352,23094.28,0.0,0.0,0.0,23094.28,23094.28
353,1889.8,302.37,0.0,0.0,2192.17,2192.17
354,2309.43,369.51,0.0,0.0,2678.9399999999996,2678.94
355,0.0,0.0,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0,0.0,0.0
357,62.07,9.93,0.0,0.0,72.0,72.0
358,539.23,86.28,0.0,0.0,625.51,625.51
359,273.28,43.72,0.0,0.0,317.0,317.0
360,214.66,34.35,0.0,0.0,249.01,249.01
361,785.0,125.6,0.0,0.0,910.6,910.6
362,295.04,47.21,0.0,0.0,342.25,342.25
363,1968.79,315.01,0.0,0.0,2283.8,2283.8
